file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uf125-01.cnf,UF125.538.100,SAT,SAT,True,2.3909,538,692,838,692,17575,38938,23904,1715,65838,65838.0,10197500.0,3.7461166429587482,PASS,True,0.04,SAT,0.018259,SAT,0.046921,SAT
uf125-010.cnf,UF125.538.100,SAT,SAT,True,2.0964,538,586,690,586,15369,34035,20611,1714,57256,57256.0,8370420.0,3.7254213026221614,PASS,True,0.04,SAT,0.037615,SAT,0.019115,SAT
uf125-0100.cnf,UF125.538.100,SAT,SAT,True,5.5112,538,1476,1755,1476,41852,91672,56553,1730,154212,154212.0,24508100.0,3.684698461244385,PASS,True,0.03,SAT,0.010706,SAT,0.014838,SAT
uf125-011.cnf,UF125.538.100,SAT,SAT,True,1.5257,538,405,508,405,11582,25384,15157,1672,42826,42826.0,5933540.0,3.6976342600587118,PASS,False,0.03,SAT,0.042793,SAT,0.002434,SAT
uf125-012.cnf,UF125.538.100,SAT,SAT,True,2.5367,538,709,846,709,19467,43060,26056,1719,71981,71981.0,10642800.0,3.6975907946781734,PASS,True,0.05,SAT,0.031704,SAT,0.010998,SAT
uf125-013.cnf,UF125.538.100,SAT,SAT,True,2.5035,538,693,823,693,18884,41601,24957,1716,69244,69244.0,10475400.0,3.666807879686507,PASS,True,0.05,SAT,0.024427,SAT,0.026854,SAT
uf125-014.cnf,UF125.538.100,SAT,SAT,True,6.0447,538,1770,2090,1770,45276,98958,63317,1728,170983,170983.0,27242500.0,3.7764599346231997,PASS,True,0.03,SAT,0.03915,SAT,0.077391,SAT
uf125-015.cnf,UF125.538.100,SAT,SAT,True,3.0646,538,824,1008,824,23457,51478,30808,1752,85336,85336.0,13079200.0,3.637975870742209,PASS,True,0.04,SAT,0.018579,SAT,0.026284,SAT
uf125-016.cnf,UF125.538.100,SAT,SAT,True,7.4341,538,2075,2412,2075,55081,121321,76493,1690,206356,206356.0,34619500.0,3.7464098327917066,PASS,True,0.03,SAT,0.020558,SAT,0.016141,SAT
uf125-017.cnf,UF125.538.100,SAT,SAT,True,1.4656,538,414,523,414,11044,24579,14857,1710,41696,41696.0,5786160.0,3.77544367982615,PASS,False,0.04,SAT,0.036602,SAT,0.062644,SAT
uf125-018.cnf,UF125.538.100,SAT,SAT,True,3.7057,538,1108,1296,1108,27873,62091,38471,1703,104561,104561.0,16576600.0,3.7513364187565026,PASS,True,0.05,SAT,0.055968,SAT,0.046822,SAT
uf125-019.cnf,UF125.538.100,SAT,SAT,True,2.9824,538,860,1015,860,22909,50227,30851,1690,84774,84774.0,12915300.0,3.700467065345497,PASS,True,0.03,SAT,0.037515,SAT,0.056718,SAT
uf125-02.cnf,UF125.538.100,SAT,SAT,True,1.7727,538,525,627,525,13339,29563,17903,1732,49908,49908.0,7132460.0,3.741509858310218,PASS,True,0.04,SAT,0.0325,SAT,0.027976,SAT
uf125-020.cnf,UF125.538.100,SAT,SAT,True,3.5091,538,993,1127,993,26227,57784,36041,1667,98236,98236.0,15487100.0,3.7456056735425327,PASS,True,0.04,SAT,0.04244,SAT,0.047888,SAT
