file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,kissat_propagations,kissat_decisions,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uf175-01.cnf,UF175.753.100,SAT,SAT,True,33.2421,753,6398,7458,6398,214204,462335,299062,2304,808913,808913.0,132200000.0,3.7763673880973276,PASS,True,0.08,SAT,202512,7743,0.14596,SAT,0.337327,SAT
uf175-010.cnf,UF175.753.100,SAT,SAT,True,71.6178,753,10924,12519,10924,347905,746541,511175,2298,1368087,1368090.0,235648000.0,3.9323579712852648,PASS,True,0.07,SAT,95743,3648,0.106059,SAT,0.337915,SAT
uf175-0100.cnf,UF175.753.100,SAT,SAT,True,13.6823,753,2891,3424,2891,98244,215207,133954,2303,364658,364658.0,59012600.0,3.711758478889296,PASS,True,0.06,SAT,96243,3580,0.082254,SAT,0.117189,SAT
uf175-011.cnf,UF175.753.100,SAT,SAT,True,5.7419,753,1210,1404,1210,43670,95932,57947,2307,160042,160042.0,25598100.0,3.664804213418823,PASS,True,0.03,SAT,14155,501,0.096981,SAT,0.044247,SAT
uf175-012.cnf,UF175.753.100,SAT,SAT,True,6.2396,753,1421,1698,1421,47296,103904,63474,2315,174285,174285.0,27516500.0,3.6849839309878214,PASS,True,0.05,SAT,105825,4032,0.070227,SAT,0.382778,SAT
uf175-013.cnf,UF175.753.100,SAT,SAT,True,7.8797,753,1679,1992,1679,59117,130283,79019,2315,216858,216858.0,34441300.0,3.6682849265016833,PASS,True,0.04,SAT,9188,291,0.136128,SAT,0.090384,SAT
uf175-014.cnf,UF175.753.100,SAT,SAT,True,28.6168,753,5727,6523,5727,190792,414492,265574,2311,718571,718571.0,118237000.0,3.766253302025242,PASS,True,0.07,SAT,112717,4388,0.091383,SAT,0.086073,SAT
uf175-015.cnf,UF175.753.100,SAT,SAT,True,11.0428,753,2401,2849,2401,81243,177055,109342,2290,298561,298561.0,49477000.0,3.6749135310119025,PASS,True,0.04,SAT,10736,403,0.058701,SAT,0.023603,SAT
uf175-016.cnf,UF175.753.100,SAT,SAT,True,30.0408,753,6081,7046,6081,198739,429918,279011,2305,754258,754258.0,124527000.0,3.7952188548800185,PASS,True,0.05,SAT,96949,3669,0.091372,SAT,0.151011,SAT
uf175-017.cnf,UF175.753.100,SAT,SAT,True,23.2315,753,5078,5935,5078,154762,337679,223012,2313,598584,598584.0,98020300.0,3.867771158294672,PASS,True,0.05,SAT,91142,3645,0.094867,SAT,0.531141,SAT
uf175-018.cnf,UF175.753.100,SAT,SAT,True,3.565,753,813,997,813,27768,60002,35690,2285,100138,100138.0,15542500.0,3.6062373955632383,PASS,True,0.05,SAT,94468,3433,0.148715,SAT,0.179235,SAT
uf175-019.cnf,UF175.753.100,SAT,SAT,True,48.2516,753,8533,9995,8533,287171,621404,401842,2288,1085013,1085010.0,182952000.0,3.7782819295820262,PASS,True,0.05,SAT,95277,3506,0.239763,SAT,0.190172,SAT
uf175-02.cnf,UF175.753.100,SAT,SAT,True,10.8297,753,2409,2890,2409,79653,174411,108649,2317,295926,295926.0,49121700.0,3.7151896350419946,PASS,True,0.06,SAT,94777,3764,0.200054,SAT,0.355961,SAT
uf175-020.cnf,UF175.753.100,SAT,SAT,True,16.4852,753,3411,4017,3411,118773,257878,159891,2291,436931,436931.0,72752100.0,3.6787064400158287,PASS,True,0.05,SAT,112703,3985,0.056345,SAT,0.495362,SAT
uf175-021.cnf,UF175.753.100,SAT,SAT,True,2.3679,753,586,748,586,17708,39048,23736,2307,66510,66510.0,10068500.0,3.7559295233792636,PASS,True,0.05,SAT,86883,3413,0.189997,SAT,0.501638,SAT
uf175-022.cnf,UF175.753.100,SAT,SAT,True,36.534,753,7035,8142,7035,228687,494681,322510,2311,869176,869176.0,142997000.0,3.8007232593020155,PASS,True,0.05,SAT,93956,3517,0.143462,SAT,0.243896,SAT
uf175-023.cnf,UF175.753.100,SAT,SAT,True,7.4866,753,1666,2009,1666,56485,123721,75657,2310,207292,207292.0,33807300.0,3.6698592546693813,PASS,True,0.17,SAT,499537,16863,0.119724,SAT,0.436749,SAT
uf175-024.cnf,UF175.753.100,SAT,SAT,True,38.9204,753,7140,8374,7140,238544,512353,336533,2330,908677,908677.0,149875000.0,3.8092636997786573,PASS,True,0.06,SAT,97895,3926,0.255723,SAT,0.755599,SAT
uf175-025.cnf,UF175.753.100,SAT,SAT,True,14.6483,753,3164,3746,3164,106258,229922,144399,2300,393390,393390.0,65349700.0,3.702215362607992,PASS,True,0.05,SAT,96608,3867,0.230703,SAT,0.157583,SAT
uf175-026.cnf,UF175.753.100,SAT,SAT,True,42.228,753,7677,8900,7677,258019,555778,362013,2293,979136,979136.0,162890000.0,3.794821311608835,PASS,True,0.06,SAT,143426,5228,0.170878,SAT,0.039885,SAT
uf175-027.cnf,UF175.753.100,SAT,SAT,True,35.4627,753,6847,7765,6847,224098,485680,319015,2295,859911,859911.0,143435000.0,3.8372096136511704,PASS,True,0.05,SAT,92399,3834,0.358758,SAT,0.293309,SAT
uf175-028.cnf,UF175.753.100,SAT,SAT,True,27.2166,753,5471,6421,5471,183271,395608,251950,2315,682912,682912.0,113765000.0,3.7262414675535136,PASS,True,0.05,SAT,87990,3375,0.155168,SAT,0.166787,SAT
uf175-029.cnf,UF175.753.100,SAT,SAT,True,52.4025,753,8908,10386,8908,293919,630009,415839,2313,1121541,1121540.0,187870000.0,3.815816602533351,PASS,True,0.05,SAT,98585,4204,0.189559,SAT,0.255797,SAT
uf175-03.cnf,UF175.753.100,SAT,SAT,True,20.1224,753,4169,4795,4169,141581,305881,191914,2284,522993,522993.0,84449000.0,3.6939490468353804,PASS,True,0.04,SAT,17294,627,0.096107,SAT,0.097733,SAT
uf175-030.cnf,UF175.753.100,SAT,SAT,True,59.6172,753,9581,11122,9581,306212,656808,444334,2303,1192008,1192010.0,203150000.0,3.8927540396849243,PASS,True,0.15,SAT,410720,15275,0.338501,SAT,1.88508,SAT
uf175-031.cnf,UF175.753.100,SAT,SAT,True,45.0278,753,7658,8944,7658,261179,559163,361699,2294,981745,981745.0,163473000.0,3.7588971548248518,PASS,True,0.05,SAT,99571,3878,0.090171,SAT,0.080039,SAT
uf175-032.cnf,UF175.753.100,SAT,SAT,True,23.1531,753,5001,5826,5001,155974,341038,220895,2313,594348,594348.0,99950200.0,3.810558169951402,PASS,True,0.06,SAT,93213,3356,0.105998,SAT,0.118802,SAT
uf175-033.cnf,UF175.753.100,SAT,SAT,True,51.8014,753,8927,10304,8927,286068,621157,412768,2313,1107725,1107720.0,188624000.0,3.8722436623460155,PASS,True,0.17,SAT,471984,17209,0.42138,SAT,0.18897,SAT
uf175-034.cnf,UF175.753.100,SAT,SAT,True,5.5454,753,1245,1449,1245,42389,93083,56215,2287,155142,155142.0,25312700.0,3.6599589516148057,PASS,True,0.07,SAT,98076,4110,0.217358,SAT,0.248386,SAT
uf175-035.cnf,UF175.753.100,SAT,SAT,True,42.7769,753,7755,8954,7755,256092,552952,362832,2262,978704,978704.0,164386000.0,3.8216890804867,PASS,True,0.04,SAT,34222,1430,0.067129,SAT,0.044527,SAT
uf175-036.cnf,UF175.753.100,SAT,SAT,True,104.5737,753,13875,15952,13875,445006,946327,650070,2303,1745504,1745500.0,306201000.0,3.922428012206577,PASS,True,0.09,SAT,254978,9240,0.095572,SAT,0.183947,SAT
uf175-037.cnf,UF175.753.100,SAT,SAT,True,53.8296,753,9391,10770,9391,301253,653754,433190,2327,1162409,1162410.0,196731000.0,3.8585806614373963,PASS,True,0.1,SAT,251745,11922,0.417464,SAT,0.447422,SAT
uf175-038.cnf,UF175.753.100,SAT,SAT,True,1.7576,753,388,483,388,13266,29164,17339,2286,49590,49590.0,6974300.0,3.7381275440976935,PASS,True,0.05,SAT,91514,3405,0.029243,SAT,0.225287,SAT
uf175-039.cnf,UF175.753.100,SAT,SAT,True,68.8632,753,2554,3084,2554,86904,189880,118680,2281,323230,323230.0,52242700.0,3.719391512473534,PASS,True,0.04,SAT,32985,1489,0.09506,SAT,0.047714,SAT
uf175-04.cnf,UF175.753.100,SAT,SAT,True,52.202,753,9439,10685,9439,292956,631973,428092,2299,1146751,1146750.0,189848000.0,3.914413768620544,PASS,True,0.05,SAT,94718,3838,0.094463,SAT,0.028879,SAT
uf175-040.cnf,UF175.753.100,SAT,SAT,True,50.9042,753,8943,10174,8943,289964,624554,411950,2304,1109724,1109720.0,189244000.0,3.8271095722227586,PASS,True,0.06,SAT,124134,4433,0.434805,SAT,0.044068,SAT
uf175-041.cnf,UF175.753.100,SAT,SAT,True,5.8429,753,1282,1537,1282,43834,96805,58742,2312,161525,161525.0,26215300.0,3.6849249441073137,PASS,True,0.05,SAT,92081,3430,0.192521,SAT,0.134908,SAT
uf175-042.cnf,UF175.753.100,SAT,,,120.0116,,,,,,,,,,,,,TIMEOUT,True,0.04,SAT,19086,694,0.078749,SAT,0.135965,SAT
uf175-043.cnf,UF175.753.100,SAT,SAT,True,14.5434,753,3122,3703,3122,104745,227252,142791,2311,388561,388561.0,63021200.0,3.7095899565611723,PASS,True,0.04,SAT,14687,547,0.121575,SAT,0.167953,SAT
uf175-044.cnf,UF175.753.100,SAT,SAT,True,54.702,753,9413,10847,9413,308634,659952,445045,2312,1198749,1198750.0,201822000.0,3.8840471237776786,PASS,True,0.04,SAT,55966,2069,0.200904,SAT,0.182079,SAT
uf175-045.cnf,UF175.753.100,SAT,SAT,True,24.4153,753,5136,5839,5136,163011,355058,232640,2298,626331,626331.0,104941000.0,3.8422621786259823,PASS,True,0.1,SAT,250812,8799,0.217997,SAT,0.031515,SAT
uf175-046.cnf,UF175.753.100,SAT,SAT,True,59.5991,753,9844,11356,9844,309315,666441,450800,2307,1209957,1209960.0,205099000.0,3.9117307599049513,PASS,True,0.05,SAT,96500,3751,0.053856,SAT,0.138359,SAT
uf175-047.cnf,UF175.753.100,SAT,SAT,True,43.7514,753,7930,9159,7930,258432,559237,368853,2306,993511,993511.0,163813000.0,3.844380726844973,PASS,True,0.04,SAT,21391,782,0.32018,SAT,0.209056,SAT
uf175-048.cnf,UF175.753.100,SAT,SAT,True,15.1038,753,3334,4072,3334,108723,235373,150083,2295,406723,406723.0,64995100.0,3.740910386946644,PASS,True,0.06,SAT,93669,4580,0.19869,SAT,0.043919,SAT
uf175-049.cnf,UF175.753.100,SAT,SAT,True,3.101,753,649,802,649,23490,51665,30635,2290,85862,85862.0,13088400.0,3.6552575564069816,PASS,True,0.04,SAT,18072,729,0.24797,SAT,0.249254,SAT
uf175-05.cnf,UF175.753.100,SAT,SAT,True,47.5239,753,8302,9570,8302,277507,599392,389869,2314,1052746,1052750.0,178345000.0,3.7935835852789297,PASS,True,0.11,SAT,244577,10020,0.316093,SAT,0.124703,SAT
uf175-050.cnf,UF175.753.100,SAT,SAT,True,2.0338,753,473,623,473,14941,33389,20078,2295,56551,56551.0,8318630.0,3.784954153001807,PASS,True,0.04,SAT,32515,1134,0.126343,SAT,0.147441,SAT
uf175-051.cnf,UF175.753.100,SAT,SAT,True,92.664,753,13705,15440,13705,417748,893000,630629,2284,1678329,1678330.0,291821000.0,4.017563219931634,PASS,True,0.05,SAT,97396,3920,0.112529,SAT,0.346461,SAT
uf175-052.cnf,UF175.753.100,SAT,SAT,True,46.3136,753,8311,9554,8311,271379,585562,386258,2273,1041605,1041600.0,177937000.0,3.8381930805257594,PASS,True,0.05,SAT,97667,3645,0.216503,SAT,0.247423,SAT
uf175-053.cnf,UF175.753.100,SAT,SAT,True,12.3325,753,2744,3258,2744,87778,192445,122477,2294,331588,331588.0,53878200.0,3.777575246644945,PASS,True,0.06,SAT,96553,3488,0.09111,SAT,0.218577,SAT
uf175-054.cnf,UF175.753.100,SAT,SAT,True,131.8624,753,5718,6647,5718,190130,410935,264424,2294,716208,716208.0,120250000.0,3.766938410561195,PASS,True,0.05,SAT,96364,3733,0.214624,SAT,0.530373,SAT
uf175-055.cnf,UF175.753.100,SAT,SAT,True,22.7526,753,4645,5450,4645,153549,334404,211200,2309,572455,572455.0,97089800.0,3.7281584380230415,PASS,True,0.06,SAT,154605,5694,0.528133,SAT,0.719745,SAT
