file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,kissat_propagations,kissat_decisions,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uuf100-01.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.2144,430,399,465,400,8842,19799,12173,1469,33888,33888.0,4550630.0,3.83261705496494,PASS,False,0.04,UNSAT,14982,847,0.021393,SAT,0.024945,UNSAT
uuf100-010.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.1297,430,365,432,366,8245,18495,11255,1461,31497,31497.0,4456050.0,3.8201334141904186,PASS,False,0.04,UNSAT,23113,1225,0.028483,SAT,0.034943,UNSAT
uuf100-0100.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.873,430,601,689,602,14000,31216,19162,1518,52652,52652.0,7253970.0,3.7608571428571427,PASS,True,0.03,UNSAT,20223,1080,0.034962,SAT,0.040818,UNSAT
uuf100-01000.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.0873,430,341,408,342,8040,17724,10696,1502,30229,30229.0,4156840.0,3.759825870646766,PASS,False,0.04,UNSAT,16719,820,0.034512,SAT,0.035868,UNSAT
uuf100-0101.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.1711,430,387,446,388,8513,18994,11712,1499,32710,32710.0,4501880.0,3.8423587454481383,PASS,False,0.04,UNSAT,11425,610,0.018445,SAT,0.028367,UNSAT
uuf100-0102.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.7187,430,578,655,579,12696,28148,17468,1513,48044,48044.0,6723180.0,3.7841839949590423,PASS,False,0.05,UNSAT,26136,1374,0.033445,SAT,0.037123,UNSAT
uuf100-0103.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.1499,430,377,412,378,8443,18940,11544,1446,32283,32283.0,4282040.0,3.8236408859410163,PASS,False,0.03,UNSAT,21887,1221,0.032335,SAT,0.029756,UNSAT
uuf100-0104.cnf,UUF100.430.1000,UNSAT,UNSAT,True,0.965,430,315,383,316,7019,15695,9567,1492,27018,27018.0,3610280.0,3.8492662772474713,PASS,False,0.03,UNSAT,20944,1089,0.02229,SAT,0.017764,UNSAT
uuf100-0105.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.5129,430,521,607,522,11284,25104,15457,1507,42649,42649.0,5842130.0,3.7795994328252394,PASS,False,0.04,UNSAT,19013,1090,0.033678,SAT,0.035681,UNSAT
uuf100-0106.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.9725,430,675,765,676,14793,32821,20436,1479,55834,55834.0,8114000.0,3.7743527344014063,PASS,True,0.04,UNSAT,22227,1119,0.032969,SAT,0.023005,UNSAT
uuf100-0107.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.6165,430,572,677,573,12000,26826,16685,1569,45803,45803.0,6225210.0,3.8169166666666667,PASS,False,0.04,UNSAT,20118,1061,0.032478,SAT,0.030924,UNSAT
uuf100-0108.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.9891,430,617,743,618,15165,33168,20010,1556,55509,55509.0,7685060.0,3.660336300692384,PASS,True,0.03,UNSAT,20739,1040,0.032312,SAT,0.024931,UNSAT
uuf100-0109.cnf,UUF100.430.1000,UNSAT,UNSAT,True,0.875,430,276,305,277,6335,14214,8668,1432,24581,24581.0,3368600.0,3.8801894238358328,PASS,False,0.03,UNSAT,19632,1019,0.019811,SAT,0.020071,UNSAT
uuf100-011.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.497,430,497,594,498,11181,24659,15050,1519,41816,41816.0,5725840.0,3.739915928807799,PASS,False,0.03,UNSAT,23994,1250,0.036661,SAT,0.045044,UNSAT
uuf100-0110.cnf,UUF100.430.1000,UNSAT,UNSAT,True,2.1892,430,723,850,724,16273,36389,22678,1456,61683,61683.0,9166050.0,3.7905118908621644,PASS,True,0.04,UNSAT,32897,1673,0.031547,SAT,0.043071,UNSAT
uuf100-0111.cnf,UUF100.430.1000,UNSAT,UNSAT,True,2.2241,430,740,817,741,16615,36994,22999,1433,62665,62665.0,9267400.0,3.7715919349984954,PASS,True,0.03,UNSAT,27473,1405,0.043059,SAT,0.037392,UNSAT
uuf100-0112.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.387,430,478,579,479,9958,22283,13900,1532,38341,38341.0,5400810.0,3.850271138782888,PASS,False,0.03,UNSAT,7867,378,0.019933,SAT,0.022865,UNSAT
uuf100-0113.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.3846,430,437,504,438,10267,22845,13811,1505,38543,38543.0,5476160.0,3.754066426414727,PASS,False,0.03,UNSAT,24369,1293,0.037585,SAT,0.034237,UNSAT
uuf100-0114.cnf,UUF100.430.1000,UNSAT,UNSAT,True,2.0576,430,692,792,693,15278,34241,21250,1471,57915,57915.0,8357160.0,3.790744861892918,PASS,True,0.03,UNSAT,32246,1686,0.032263,SAT,0.036676,UNSAT
uuf100-0115.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.6279,430,558,626,559,12335,27077,16623,1504,46002,46002.0,6251170.0,3.729387920551277,PASS,False,0.03,UNSAT,19657,1277,0.032718,SAT,0.034498,UNSAT
uuf100-0116.cnf,UUF100.430.1000,UNSAT,UNSAT,True,2.1404,430,737,836,738,15666,35350,22056,1478,59893,59893.0,9159200.0,3.8231201327716073,PASS,True,0.04,UNSAT,21443,1120,0.04511,SAT,0.043737,UNSAT
uuf100-0117.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.3966,430,450,509,451,10432,23066,13901,1534,38896,38896.0,5320680.0,3.728527607361963,PASS,False,0.04,UNSAT,16614,874,0.027795,SAT,0.015248,UNSAT
uuf100-0118.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.3147,430,455,547,456,9466,21231,13161,1523,36394,36394.0,5133990.0,3.844707373758715,PASS,False,0.03,UNSAT,12137,623,0.022308,SAT,0.017843,UNSAT
uuf100-0119.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.7334,430,580,672,581,12963,28630,17559,1579,48520,48520.0,6690880.0,3.7429607343979017,PASS,False,0.03,UNSAT,23881,1508,0.034598,SAT,0.044016,UNSAT
uuf100-012.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.5427,430,541,613,542,11411,25465,15878,1528,43651,43651.0,5956800.0,3.8253439663482602,PASS,False,0.04,UNSAT,11505,671,0.02547,SAT,0.027412,UNSAT
uuf100-0120.cnf,UUF100.430.1000,UNSAT,UNSAT,True,1.0852,430,363,431,364,8048,17897,10933,1475,30679,30679.0,4285640.0,3.812002982107356,PASS,False,0.03,UNSAT,13527,746,0.023349,SAT,0.034075,UNSAT
