file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uuf125-01.cnf,UUF125.538.100,UNSAT,UNSAT,True,2.8406,538,833,976,834,21042,47147,29127,1716,79405,79405.0,12431000.0,3.7736431898108544,PASS,True,0.05,UNSAT,0.043428,SAT,0.041121,UNSAT
uuf125-010.cnf,UUF125.538.100,UNSAT,UNSAT,True,3.8019,538,1127,1314,1128,28712,63336,39290,1711,106945,106945.0,17166100.0,3.7247492337698525,PASS,True,0.03,UNSAT,0.058341,SAT,0.056412,UNSAT
uuf125-0100.cnf,UUF125.538.100,UNSAT,UNSAT,True,5.1873,538,1492,1699,1493,38829,85599,53713,1719,145490,145490.0,23045000.0,3.746941718818409,PASS,True,0.02,UNSAT,0.038123,SAT,0.048308,UNSAT
uuf125-011.cnf,UUF125.538.100,UNSAT,UNSAT,True,4.9941,538,1461,1663,1462,37326,82871,52057,1724,140834,140834.0,22336200.0,3.7730804265123505,PASS,True,0.04,UNSAT,0.047057,SAT,0.063421,UNSAT
uuf125-012.cnf,UUF125.538.100,UNSAT,UNSAT,True,6.7694,538,1906,2189,1907,50447,110260,69337,1713,187782,187782.0,30963800.0,3.722362082978175,PASS,True,0.03,UNSAT,0.078634,SAT,0.0826,UNSAT
uuf125-013.cnf,UUF125.538.100,UNSAT,UNSAT,True,4.4685,538,1278,1517,1279,33757,74379,46125,1726,125461,125461.0,20069500.0,3.71659211422816,PASS,True,0.03,UNSAT,0.054251,SAT,0.069764,UNSAT
uuf125-014.cnf,UUF125.538.100,UNSAT,UNSAT,True,5.1461,538,1497,1716,1498,37954,84877,53328,1730,143945,143945.0,23227500.0,3.792617378932392,PASS,True,0.04,UNSAT,0.044151,SAT,0.075255,UNSAT
uuf125-015.cnf,UUF125.538.100,UNSAT,UNSAT,True,6.0445,538,1702,1879,1703,44728,99485,62382,1695,168503,168503.0,26499400.0,3.767282239313182,PASS,True,0.05,UNSAT,0.060519,SAT,0.088496,UNSAT
uuf125-016.cnf,UUF125.538.100,UNSAT,UNSAT,True,4.3798,538,1261,1449,1262,32665,72661,45742,1708,123851,123851.0,19370800.0,3.7915505893157815,PASS,True,0.05,UNSAT,0.041745,SAT,0.043347,UNSAT
uuf125-017.cnf,UUF125.538.100,UNSAT,UNSAT,True,2.5945,538,788,948,789,19509,43228,26674,1697,72985,72985.0,10751900.0,3.741093854118612,PASS,True,0.05,UNSAT,0.0473,SAT,0.035778,UNSAT
