file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uf20-01.cnf,uf20-91,SAT,SAT,True,0.0381,91,0,4,0,20,36,0,273,309,309.0,15325.0,15.45,PASS,False,0.001836157977581024,SAT,0.002182,SAT,0.001298,SAT
uf20-010.cnf,uf20-91,SAT,SAT,True,0.041,91,2,9,2,30,56,17,279,352,352.0,36503.0,11.733333333333333,PASS,False,0.0019002669639885425,SAT,0.003002,SAT,0.001248,SAT
uf20-0100.cnf,uf20-91,SAT,SAT,True,0.0449,91,1,5,1,30,60,16,275,351,351.0,26907.0,11.7,PASS,False,0.001444297019392252,SAT,0.002166,SAT,0.002493,SAT
uf20-01000.cnf,uf20-91,SAT,SAT,True,0.0625,91,10,13,10,85,185,103,299,587,587.0,117943.0,6.905882352941177,PASS,False,0.002792968988418579,SAT,0.002646,SAT,0.002796,SAT
uf20-0101.cnf,uf20-91,SAT,SAT,True,0.0489,91,5,12,5,45,96,48,285,429,429.0,65555.0,9.533333333333333,PASS,False,0.0009880060013383626,SAT,0.002302,SAT,0.001128,SAT
uf20-0102.cnf,uf20-91,SAT,SAT,True,0.0477,91,6,9,6,59,127,63,288,478,478.0,67921.0,8.101694915254237,PASS,False,0.0004835651405155658,SAT,0.003375,SAT,0.001531,SAT
uf20-0103.cnf,uf20-91,SAT,SAT,True,0.0523,91,8,11,8,72,160,87,292,539,539.0,97974.0,7.486111111111111,PASS,False,0.00130072689242661,SAT,0.003407,SAT,0.000886,SAT
uf20-0104.cnf,uf20-91,SAT,SAT,True,0.0451,91,5,8,5,42,89,40,286,415,415.0,59635.0,9.880952380952381,PASS,False,0.0016368169952183961,SAT,0.001481,SAT,0.002998,SAT
uf20-0105.cnf,uf20-91,SAT,SAT,True,0.0382,91,3,6,3,31,63,21,284,368,368.0,40308.0,11.870967741935484,PASS,False,0.0016304670050740241,SAT,0.002199,SAT,0.001869,SAT
uf20-0106.cnf,uf20-91,SAT,SAT,True,0.044,91,2,6,2,26,50,12,281,343,343.0,31912.0,13.192307692307692,PASS,False,0.0017408569026738404,SAT,0.000532,SAT,0.002266,SAT
uf20-0107.cnf,uf20-91,SAT,SAT,True,0.0502,91,7,11,7,73,149,74,287,510,510.0,82262.0,6.986301369863014,PASS,False,0.0020613669101148843,SAT,0.002615,SAT,0.002675,SAT
uf20-0108.cnf,uf20-91,SAT,SAT,True,0.0457,91,8,13,8,85,177,94,292,564,564.0,61538.0,6.635294117647059,PASS,False,0.001672386998310685,SAT,0.001125,SAT,0.00221,SAT
uf20-0109.cnf,uf20-91,SAT,SAT,True,0.057,91,14,17,14,107,230,134,316,680,680.0,80611.0,6.355140186915888,PASS,False,0.002127647042274475,SAT,0.001948,SAT,0.0019,SAT
uf20-011.cnf,uf20-91,SAT,SAT,True,0.0307,91,2,13,2,33,58,20,278,356,356.0,19424.0,10.787878787878787,PASS,False,0.0016320369821041822,SAT,0.0,SAT,0.001147,SAT
uf20-0110.cnf,uf20-91,SAT,SAT,True,0.043,91,4,6,4,41,92,41,286,419,419.0,57020.0,10.21951219512195,PASS,False,0.0012989459708333015,SAT,0.001844,SAT,0.002882,SAT
uf20-0111.cnf,uf20-91,SAT,SAT,True,0.0504,91,8,14,8,63,132,71,297,500,500.0,82133.0,7.936507936507937,PASS,False,0.001581067094579339,SAT,0.000538,SAT,0.001248,SAT
uf20-0112.cnf,uf20-91,SAT,SAT,True,0.0422,91,7,12,7,62,132,69,292,493,493.0,51150.0,7.951612903225806,PASS,False,0.0021612780317664146,SAT,0.002212,SAT,0.003399,SAT
uf20-0113.cnf,uf20-91,SAT,SAT,True,0.0665,91,13,16,13,110,243,142,301,686,686.0,109951.0,6.236363636363636,PASS,False,0.002070957902818918,SAT,0.000627,SAT,0.003031,SAT
uf20-0114.cnf,uf20-91,SAT,SAT,True,0.0354,91,3,11,3,32,61,23,282,366,366.0,29520.0,11.4375,PASS,False,0.0015829770043492316,SAT,0.003076,SAT,0.003438,SAT
uf20-0115.cnf,uf20-91,SAT,SAT,True,0.0236,91,7,8,7,69,150,76,285,512,512.0,35295.0,7.420289855072464,PASS,False,0.0015865570083260535,SAT,0.003209,SAT,0.002104,SAT
uf20-0116.cnf,uf20-91,SAT,SAT,True,0.0268,91,3,8,3,39,78,30,283,391,391.0,34487.0,10.025641025641026,PASS,False,0.0023569370303303003,SAT,0.001232,SAT,0.003158,SAT
uf20-0117.cnf,uf20-91,SAT,SAT,True,0.0511,91,9,14,9,71,146,78,297,521,521.0,99584.0,7.338028169014085,PASS,False,0.0023935980778187513,SAT,0.00333,SAT,0.002333,SAT
uf20-0118.cnf,uf20-91,SAT,SAT,True,0.0347,91,11,23,11,79,157,92,301,550,550.0,41002.0,6.962025316455696,PASS,False,0.0023234480675309896,SAT,0.000907,SAT,0.001249,SAT
uf20-0119.cnf,uf20-91,SAT,SAT,True,0.0456,91,7,8,7,84,180,91,290,561,561.0,60908.0,6.678571428571429,PASS,False,0.0004187148213386535,SAT,0.00189,SAT,0.002642,SAT
uf20-012.cnf,uf20-91,SAT,SAT,True,0.0322,91,0,5,0,20,35,0,273,308,308.0,14568.0,15.4,PASS,False,0.0012401369083672761,SAT,0.001233,SAT,0.002378,SAT
uf20-0120.cnf,uf20-91,SAT,SAT,True,0.0401,91,10,13,10,76,168,95,300,563,563.0,53359.0,7.407894736842105,PASS,False,0.0020943781044334172,SAT,0.001817,SAT,0.00076,SAT
