file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,kissat_propagations,kissat_decisions,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uf200-01.cnf,uf200-860,SAT,,,180.0081,,,,,,,,,,,,,TIMEOUT,True,0.1,SAT,311189,12926,0.683025,SAT,0.891364,SAT
uf200-010.cnf,uf200-860,SAT,SAT,True,147.1189,860,15653,17790,15653,546395,1172869,807095,2601,2162728,2162730.0,387278000.0,3.958176776873873,PASS,True,0.05,SAT,84029,2843,0.21068,SAT,1.29276,SAT
uf200-0100.cnf,uf200-860,SAT,SAT,True,53.3831,860,8647,9967,8647,300113,648832,428137,2619,1151731,1151730.0,197264000.0,3.8376578155561405,PASS,True,0.12,SAT,346463,15156,0.146347,SAT,1.36349,SAT
uf200-011.cnf,uf200-860,SAT,SAT,True,3.6166,860,778,965,778,28069,61344,36792,2609,103027,103027.0,16495100.0,3.6704905767929032,PASS,True,0.05,SAT,43788,1493,0.071481,SAT,0.449302,SAT
uf200-012.cnf,uf200-860,SAT,SAT,True,9.1391,860,1805,2159,1805,68349,149226,91080,2617,250447,250447.0,40671100.0,3.664237955200515,PASS,True,0.06,SAT,145729,5858,0.259696,SAT,0.180743,SAT
uf200-013.cnf,uf200-860,SAT,SAT,True,98.0597,860,12570,14901,12570,430946,928654,616771,2619,1660026,1660030.0,298283000.0,3.852051069043453,PASS,True,0.05,SAT,109740,4343,0.255638,SAT,0.853475,SAT
uf200-014.cnf,uf200-860,SAT,SAT,True,23.2674,860,4440,5208,4440,158734,345403,219414,2594,595488,595488.0,98704000.0,3.751483614096539,PASS,True,0.04,SAT,57947,2659,0.378144,SAT,0.769339,SAT
uf200-015.cnf,uf200-860,SAT,SAT,True,81.3816,860,11157,12902,11157,401983,864733,563472,2606,1525785,1525780.0,273972000.0,3.7956455870024355,PASS,True,0.1,SAT,212208,6617,0.743785,SAT,0.086791,SAT
uf200-016.cnf,uf200-860,SAT,SAT,True,5.037,860,1094,1321,1094,38864,85115,51217,2614,142220,142220.0,22505000.0,3.659427748044463,PASS,True,0.05,SAT,106100,3672,0.096768,SAT,0.161054,SAT
uf200-017.cnf,uf200-860,SAT,SAT,True,5.1796,860,1054,1269,1054,39562,87102,52448,2599,145383,145383.0,23802300.0,3.674814215661493,PASS,True,0.22,SAT,687882,26518,0.311884,SAT,0.176043,SAT
uf200-018.cnf,uf200-860,SAT,SAT,True,80.7318,860,10818,12453,10818,391656,837562,551888,2602,1492051,1492050.0,258605000.0,3.809595665584084,PASS,True,0.07,SAT,106569,3584,0.04139,SAT,0.822061,SAT
uf200-019.cnf,uf200-860,SAT,,,180.0061,,,,,,,,,,,,,TIMEOUT,True,0.15,SAT,426702,16368,0.444764,SAT,2.68152,SAT
uf200-02.cnf,uf200-860,SAT,SAT,True,15.9927,860,3251,3762,3251,115769,252769,157072,2609,428408,428408.0,71936500.0,3.7005415957639785,PASS,True,0.18,SAT,509031,17969,0.51126,SAT,0.089919,SAT
uf200-020.cnf,uf200-860,SAT,SAT,True,59.5713,860,9305,10821,9305,316403,680153,454326,2604,1222950,1222950.0,212153000.0,3.8651656273802715,PASS,True,0.22,SAT,611268,22052,0.065715,SAT,0.08174,SAT
uf200-021.cnf,uf200-860,SAT,,,180.0081,,,,,,,,,,,,,TIMEOUT,True,0.17,SAT,463606,18185,1.07212,SAT,2.0858,SAT
uf200-022.cnf,uf200-860,SAT,,,180.0074,,,,,,,,,,,,,TIMEOUT,True,0.05,SAT,107712,4273,1.46087,SAT,0.798299,SAT
uf200-023.cnf,uf200-860,SAT,SAT,True,65.2665,860,9304,10887,9304,344591,738985,480752,2603,1304765,1304760.0,215596000.0,3.7864163602647776,PASS,True,0.05,SAT,106292,3838,0.084149,SAT,0.276414,SAT
uf200-024.cnf,uf200-860,SAT,SAT,True,178.6036,860,17630,20323,17630,625812,1339822,915584,2610,2457299,2457300.0,441792000.0,3.926576991173068,PASS,True,0.1,SAT,272885,7969,0.791823,SAT,0.047755,SAT
uf200-025.cnf,uf200-860,SAT,SAT,True,34.4044,860,6158,7131,6158,220471,478900,308101,2601,835473,835473.0,138853000.0,3.789491588462882,PASS,True,0.05,SAT,81212,3330,0.143087,SAT,0.662961,SAT
uf200-026.cnf,uf200-860,SAT,SAT,True,50.7731,860,8266,9767,8266,300541,644117,414549,2611,1125783,1125780.0,196217000.0,3.7458549748619987,PASS,True,0.05,SAT,102368,3457,0.714949,SAT,1.85221,SAT
uf200-027.cnf,uf200-860,SAT,,,180.0076,,,,,,,,,,,,,TIMEOUT,True,0.09,SAT,104787,3576,1.07581,SAT,4.16406,SAT
uf200-028.cnf,uf200-860,SAT,SAT,True,26.8244,860,4820,5679,4820,183140,396830,252538,2603,686779,686779.0,112707000.0,3.7500218412143713,PASS,True,0.06,SAT,106947,3667,0.375728,SAT,0.070377,SAT
uf200-029.cnf,uf200-860,SAT,SAT,True,156.1878,860,16143,18625,16143,555297,1191586,814183,2591,2185042,2185040.0,472115000.0,3.9349069056739006,PASS,True,0.23,SAT,639082,25089,0.382789,SAT,1.51008,SAT
uf200-03.cnf,uf200-860,SAT,SAT,True,6.2323,860,1267,1546,1267,48055,104585,62653,2602,173892,173892.0,29060400.0,3.6186036832795754,PASS,True,0.04,SAT,60394,2226,0.025573,SAT,0.034637,SAT
uf200-030.cnf,uf200-860,SAT,SAT,True,42.7148,860,7120,8212,7120,257799,557017,357351,2600,970895,970895.0,188477000.0,3.766092963898231,PASS,True,0.17,SAT,482971,17671,0.764174,SAT,1.56633,SAT
