file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uuf50-01.cnf,uuf50-218,UNSAT,UNSAT,True,0.1928,218,77,82,78,1067,2395,1498,749,4673,4673.0,551290.0,4.379568884723524,PASS,False,0.0,UNSAT,0.005315,SAT,0.004582,UNSAT
uuf50-010.cnf,uuf50-218,UNSAT,UNSAT,True,0.1397,218,51,60,52,648,1445,877,739,3072,3072.0,339376.0,4.7407407407407405,PASS,False,0.0,UNSAT,0.004826,SAT,0.003278,UNSAT
uuf50-0100.cnf,uuf50-218,UNSAT,UNSAT,True,0.1373,218,43,46,44,569,1289,797,728,2820,2820.0,311736.0,4.956063268892795,PASS,False,0.0,UNSAT,0.005291,SAT,0.003915,UNSAT
uuf50-01000.cnf,uuf50-218,UNSAT,UNSAT,True,0.0989,218,36,39,37,427,991,613,720,2333,2333.0,236619.0,5.4637002341920375,PASS,False,0.0,UNSAT,0.00277,SAT,0.003982,UNSAT
uuf50-0101.cnf,uuf50-218,UNSAT,UNSAT,True,0.1751,218,56,65,57,814,1819,1112,735,3683,3683.0,431642.0,4.524570024570025,PASS,False,0.0,UNSAT,0.00514,SAT,0.004959,UNSAT
uuf50-0102.cnf,uuf50-218,UNSAT,UNSAT,True,0.1449,218,61,66,62,830,1853,1166,740,3794,3794.0,426334.0,4.571084337349397,PASS,False,0.0,UNSAT,0.008039,SAT,0.007228,UNSAT
uuf50-0103.cnf,uuf50-218,UNSAT,UNSAT,True,0.1754,218,71,80,72,957,2180,1369,729,4294,4294.0,497752.0,4.486938349007315,PASS,False,0.0,UNSAT,0.004568,SAT,0.005732,UNSAT
uuf50-0104.cnf,uuf50-218,UNSAT,UNSAT,True,0.1916,218,61,71,62,921,2068,1275,752,4116,4116.0,620407.0,4.469055374592834,PASS,False,0.01,UNSAT,0.005077,SAT,0.005021,UNSAT
uuf50-0105.cnf,uuf50-218,UNSAT,UNSAT,True,0.1541,218,69,81,70,868,1979,1267,720,3984,3984.0,488525.0,4.589861751152074,PASS,False,0.0,UNSAT,0.006065,SAT,0.00413,UNSAT
uuf50-0106.cnf,uuf50-218,UNSAT,UNSAT,True,0.1847,218,90,100,91,1218,2757,1729,787,5305,5305.0,621074.0,4.355500821018063,PASS,False,0.0,UNSAT,0.005148,SAT,0.006013,UNSAT
uuf50-0107.cnf,uuf50-218,UNSAT,UNSAT,True,0.1889,218,71,82,72,961,2166,1344,738,4263,4263.0,538043.0,4.436004162330906,PASS,False,0.0,UNSAT,0.004937,SAT,0.004621,UNSAT
